date,min,max,median,q1,q3,stdev,count
2022-12-17T00:00:00.000Z,1,31.58,6.13,3.34,11.12,4.818,512
2022-12-18T00:00:00.000Z,1.67,30.4,8.66,4,10.3,3.702,518
2022-12-19T00:00:00.000Z,1.7,58.38,13.2,5.73,19.05,7.905,520
2022-12-20T00:00:00.000Z,2.6,68.34,15.79,11.34,23.69,9.481,528
2022-12-21T00:00:00.000Z,0.3,35.92,3.88,2.5,5.09,4.733,490
2022-12-22T00:00:00.000Z,1.25,65.06,3.13,2.02,9.1,4.596,519
2022-12-23T00:00:00.000Z,0.13,12.85,2.6,0.6,5.75,3.64,378
2022-12-24T00:00:00.000Z,1.7,25.27,5.82,2.5,8.8,4.837,460
2022-12-25T00:00:00.000Z,2.7,32.97,7.2,4.5,10.48,5.045,490
2022-12-26T00:00:00.000Z,1.88,49.03,7.14,5.03,11.82,8.463,388
2022-12-27T00:00:00.000Z,0.5,8.6,1.58,1,2.4,1.01,449
2022-12-28T00:00:00.000Z,0.7,38.54,5.25,1.2,7.75,5.976,471
2022-12-29T00:00:00.000Z,1.12,25.17,6.13,3.25,10.55,5.498,515
2022-12-30T00:00:00.000Z,0.7,11.8,2.13,1.45,2.8,1.232,441
2022-12-31T00:00:00.000Z,1.3,128.43,3.75,2.91,4.5,12.799,472
2023-01-01T00:00:00.000Z,2.1,39.35,9.35,4.88,17.13,9.215,495
2023-01-02T00:00:00.000Z,0.98,124.57,9.52,2.24,15.02,16.8,516
2023-01-03T00:00:00.000Z,0.8,9.57,1.55,1.2,2.72,1.651,435
2023-01-04T00:00:00.000Z,0.56,36.53,2.5,1.92,3.74,3.462,480
2023-01-05T00:00:00.000Z,1,13.35,3.82,2.17,4.75,1.595,504
2023-01-06T00:00:00.000Z,1.98,16.48,3.33,2.9,4.5,1.385,515
2023-01-07T00:00:00.000Z,3.72,45.1,6.8,5.4,22.17,11.201,511
2023-01-08T00:00:00.000Z,1.65,54.4,11.15,7.18,27.9,14.298,547
2023-01-09T00:00:00.000Z,6.32,53.42,26.42,12.9,36.04,12.443,494
2023-01-10T00:00:00.000Z,1.08,21.92,4.95,3.24,8.47,3.515,520
2023-01-11T00:00:00.000Z,1,29.27,2.75,2.02,3.33,3.695,487
2023-01-12T00:00:00.000Z,1.35,26.02,3.4,2.78,4.03,2.734,529
2023-01-13T00:00:00.000Z,0.43,40.79,3.94,2.8,6.04,4.994,476
2023-01-14T00:00:00.000Z,0.47,24.55,2.72,1.95,3.6,2.451,545
